Date,Open,High,Low,Close,Adj Close,Volume
3/18/2019,204.5,205.919998,201.449997,205.770004,205.770004,1248800
3/19/2019,207.699997,208,197.653,202.089996,202.089996,2215400
3/20/2019,200.529999,203.100006,198.729996,201.339996,201.339996,1401600
3/21/2019,200.320007,205.199997,198.815002,205,205,1721000
3/22/2019,204.399994,204.690002,198.610001,198.75,198.75,1530100
3/25/2019,198.050003,202.75,196.470001,201.449997,201.449997,1257500
3/26/2019,203.630005,207.410004,202.729996,204.369995,204.369995,1165900
3/27/2019,205.660004,205.720001,196.610001,200.080002,200.080002,1020400
3/28/2019,200.830002,203.75,197,203.449997,203.449997,1114000
3/29/2019,205.880005,207.5,203.190002,206.619995,206.619995,810100
4/1/2019,208.429993,210.100006,203.119995,206.039993,206.039993,1103200
4/2/2019,205.600006,206.050003,198.449997,201.460007,201.460007,2454900
4/3/2019,201.979996,205.800003,198.889999,205.119995,205.119995,2011000
4/4/2019,204.539993,205.009995,190.380005,194.75,194.75,4762100
4/5/2019,195.589996,198.020004,194.889999,196.649994,196.649994,1489900
4/8/2019,196.649994,200.889999,195.320007,200.240005,200.240005,1291300
4/9/2019,198.259995,204.220001,197.341003,203.960007,203.960007,1248200
4/10/2019,204.360001,207.440002,202.509995,206.5,206.5,880300
4/11/2019,207.580002,211.539993,206.309998,210.990005,210.990005,1334700
4/12/2019,212.820007,214.929993,212.110001,214.830002,214.830002,1197000
4/15/2019,214.830002,219.899994,213.619995,218.029999,218.029999,1759500
4/16/2019,219.779999,221.820007,213.610001,215.399994,215.399994,1338200
4/17/2019,216.800003,218.330002,211.309998,217.050003,217.050003,1064000
4/18/2019,217.130005,220.779999,213.130005,220.720001,220.720001,1287700
4/22/2019,220,225.990005,219.169998,224.289993,224.289993,1316500
4/23/2019,226.5,227.389999,222.100006,223.440002,223.440002,1881300
4/24/2019,224.600006,224.600006,218.623993,219.809998,219.809998,2023100
4/25/2019,220.690002,222.190002,216.619995,218.970001,218.970001,1667300
4/26/2019,219,225.179993,219,222.279999,222.279999,1388600
4/29/2019,225.330002,228.740005,223.529999,225.789993,225.789993,1940300
4/30/2019,226.440002,247.5,226.440002,243.529999,243.529999,6223400
5/1/2019,242.850006,252.302002,237.389999,245.160004,245.160004,3184300
